id,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous,orbit_dates,miss_distances_km
3976530,3976530,(2020 AM1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3976530,24.7,0.0305179233,0.0682401509,False,['2020-Jan-01 07:13'],[23884049.19147211]
3942362,3942362,(2019 YK),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3942362,24.0,0.0421264611,0.0941976306,False,['2020-Jan-01 02:06'],[5390966.393620589]
3893737,3893737,(2019 WE5),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3893737,23.0,0.0667659413,0.1492931834,False,['2020-Jan-01 14:54'],[20137982.751645297]
3976578,3976578,(2020 AE2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3976578,22.9,0.0699125232,0.1563291544,False,['2020-Jan-01 15:16'],[35476716.41533804]
3591759,3591759,(2011 YE40),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3591759,25.2,0.0242412481,0.0542050786,False,['2020-Jan-01 14:36'],[9623911.862060713]
3747497,3747497,(2016 EF195),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3747497,25.5,0.0211132445,0.0472106499,False,['2020-Jan-01 05:50'],[41620907.680494376]
3564720,3564720,(2011 HS60),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3564720,21.3,0.1460679643,0.3266178974,False,"['2020-Jan-01 22:00', '2018-Aug-23 08:19', '2018-May-19 03:06']","[29752373.442310072, 60642925.46247934, 59364018.56761393]"
3976542,3976542,(2020 AY1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3976542,25.1,0.0253837029,0.0567596853,False,['2020-Jan-01 00:54'],[3166038.726680366]
3971141,3971141,(2019 YO6),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3971141,22.2,0.096506147,0.2157943048,False,['2020-Jan-02 10:15'],[46859076.41039418]
3986810,3986810,(2020 BK2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3986810,21.728,0.1199374957,0.2681883935,False,['2020-Jan-02 04:59'],[23948871.38468266]
